url	company	normalized_title	location	date_first_seen	score	grade	status	last_attempt_at	attempt_count
	Updater	. technical product lead		2026-03-25			applied	2026-03-25	1
	ActBlue	product manager - payments platform		2026-03-24			applied	2026-03-24	1
	Pearl	principal product manager		2026-03-24			applied	2026-03-24	1
	Hometap	principal product manager, new products		2026-03-24			applied	2026-03-24	1
	Array	product manager		2026-03-24			applied	2026-03-24	1
	Infoblox	staff product manager - platform/msp		2026-03-19			applied	2026-03-19	1
	Point	lead product manager (customer engagement)		2026-03-08			applied	2026-03-08	1
	Zillow (StreetEasy)	program manager (product ops)		2026-03-06			applied	2026-03-06	1
	Duetto	product manager (hotstats)		2026-03-06			applied	2026-03-06	1
	Headway	staff product manager (benefits platform)		2026-03-05			applied	2026-03-05	1
	ezCater	principal product manager (emerging opportunities)		2026-03-05			applied	2026-03-05	1
	In Tandem	staff pm		2026-03-03			applied	2026-03-03	1
	bloomreach	dir of pm		2026-02-12			applied	2026-02-12	1
	tkww	principal pm		2026-02-12			applied	2026-02-12	1
	Wrapbook	dir of pm		2026-02-12			applied	2026-02-12	1
	Gametime	staff ml/al/data tpm		2026-02-12			applied	2026-02-12	1
	Twin Health	principal pm		2026-02-12			applied	2026-02-12	1
	Instacart	principal pm agentic commerce		2026-02-12			applied	2026-02-12	1
	bold.org	pm		2026-02-10			applied	2026-02-10	1
	Flexport	pm		2026-02-10			applied	2026-02-10	1
	Brex	staff pm, growth		2026-03-03			applied	2026-03-03	1
	onX	head of product - offroad (gpm ii)		2026-02-12			applied	2026-02-12	1
	Qualia	pm		2026-02-12			applied	2026-02-12	1
	Puzzle	pm ai		2026-02-10			applied	2026-02-10	1
	Affirm	staff pm		2026-02-10			applied	2026-02-10	1
	AgentSync	staff pm (compensation & distribution)		2026-03-03			applied	2026-03-03	1
	Arize AI	technical product manager		2026-03-05			applied	2026-03-05	1
	Lette AI			2026-02-25			pitched	2026-02-25	1
	Dwelly			2026-02-26			pitched	2026-02-26	1
	Brickanta			2026-02-26			pitched	2026-02-26	1
	ScyAI			2026-02-26			pitched	2026-02-26	1
	Payra			2026-03-05			pitched	2026-03-05	1
	EliseAI			2026-03-05			pitched	2026-03-05	1
	Venn			2026-03-05			pitched	2026-03-05	1
	Flex			2026-03-05			pitched	2026-03-05	1
	Scout Out			2026-03-05			pitched	2026-03-05	1
	Brickwise			2026-03-05			pitched	2026-03-05	1
	Spintly			2026-03-03			pitched	2026-03-03	1
	Stake			2026-03-03			pitched	2026-03-03	1
	Gropyus			2026-03-03			pitched	2026-03-03	1
	Payr			2026-03-03			pitched	2026-03-03	1
	RealPage			2026-03-03			pitched	2026-03-03	1
	Lone Wolf Technologies			2026-03-03			pitched	2026-03-03	1
	Maverix Advisory Group			2026-03-03			pitched	2026-03-03	1
	Haven			2026-03-03			pitched	2026-03-03	1
	Inviscid AI			2026-03-03			pitched	2026-03-03	1
	ArchiLabs			2026-03-03			pitched	2026-03-03	1
	Aldara			2026-03-03			pitched	2026-03-03	1
	Orbital			2026-02-18			pitched	2026-02-18	1
	Benepass			2026-02-18			pitched	2026-02-18	1
	Luxury Presence			2026-02-18			pitched	2026-02-18	1
	Stacks			2026-02-25			pitched	2026-02-25	1
	Company			Date			pitched	Date	1
	------------			----------			pitched	----------	1
	Bound			2026-02-18			pitched	2026-02-18	1
	Vantaca			2026-02-24			pitched	2026-02-24	1
	PermitFlow			2026-02-24			pitched	2026-02-24	1
	Breezy			2026-03-17			pitched	2026-03-17	1
	MRI Software			2026-02-18			pitched	2026-02-18	1
	Ownwell			2026-02-25			pitched	2026-02-25	1
	Harper			2026-02-25			pitched	2026-02-25	1
	Trayd			2026-04-13			pitched	2026-04-13	1
	Eragon			2026-04-13			pitched	2026-04-13	1
	Sycamore			2026-04-13			pitched	2026-04-13	1
	Nexus			2026-04-13			pitched	2026-04-13	1
	Baselane			2026-04-13			pitched	2026-04-13	1
	AppWork			2026-04-13			pitched	2026-04-13	1
	ConCntric			2026-04-13			pitched	2026-04-13	1
	XBuild			2026-04-13			pitched	2026-04-13	1
	Wonderful			2026-04-13			pitched	2026-04-13	1
	Lio			2026-04-13			pitched	2026-04-13	1
	Acelab			2026-04-13			pitched	2026-04-13	1
	CYVL			2026-04-13			pitched	2026-04-13	1
	Spacial			2026-04-13			pitched	2026-04-13	1
	Oasis Security			2026-04-13			pitched	2026-04-13	1
	Jump			2026-04-13			pitched	2026-04-13	1
	Letter AI			2026-04-13			pitched	2026-04-13	1
	Code Metal			2026-04-13			pitched	2026-04-13	1
	Slang AI			2026-04-13			pitched	2026-04-13	1
	tem			2026-04-13			pitched	2026-04-13	1
	Rewaa			2026-04-13			pitched	2026-04-13	1
	osapiens			2026-04-13			pitched	2026-04-13	1
	Planna			2026-04-13			pitched	2026-04-13	1
	Automated Architecture			2026-04-13			pitched	2026-04-13	1
	Stately			2026-04-13			pitched	2026-04-13	1
	Doctronic			2026-04-13			pitched	2026-04-13	1
	Stand			2026-04-13			pitched	2026-04-13	1
	Pace			2026-04-13			pitched	2026-04-13	1
	Trial Library			2026-04-13			pitched	2026-04-13	1
	Eudia			2026-04-13			pitched	2026-04-13	1
	WINN.AI			2026-04-13			pitched	2026-04-13	1
	Sequence			2026-04-13			pitched	2026-04-13	1
	Voize			2026-04-13			pitched	2026-04-13	1
	Qualified Health			2026-04-13			pitched	2026-04-13	1
	Sixfold			2026-04-13			pitched	2026-04-13	1
	Indigo			2026-04-13			pitched	2026-04-13	1
	XILO			2026-04-13			pitched	2026-04-13	1
	Xoople			2026-04-14			pitched	2026-04-14	1
	Insight Health			2026-04-14			pitched	2026-04-14	1
	Glimpse			2026-04-14			pitched	2026-04-14	1
	Harvey			2026-04-14			pitched	2026-04-14	1
	Axiamatic			2026-04-14			pitched	2026-04-14	1
	Rebellions			2026-04-14			pitched	2026-04-14	1
	XFX			2026-04-14			pitched	2026-04-14	1
	Aetherflux			2026-04-14			pitched	2026-04-14	1
	Zatanna			2026-04-14			pitched	2026-04-14	1
	Fenrock AI			2026-04-14			pitched	2026-04-14	1
	Rubric AI			2026-04-14			pitched	2026-04-14	1
	Button			2026-04-14			pitched	2026-04-14	1
	Pocket			2026-04-14			pitched	2026-04-14	1
	Beacon Health			2026-04-14			pitched	2026-04-14	1
	Oro Labs			2026-04-14			pitched	2026-04-14	1
	Vypr			2026-04-14			pitched	2026-04-14	1
	Daffodil Health			2026-04-14			pitched	2026-04-14	1
	Northwood Space			2026-04-14			pitched	2026-04-14	1
	Emergent			2026-04-14			pitched	2026-04-14	1
	Ethernovia			2026-04-14			pitched	2026-04-14	1
	Ricursive Intelligence			2026-04-14			pitched	2026-04-14	1
	Upscale AI			2026-04-14			pitched	2026-04-14	1
	Olix			2026-04-14			pitched	2026-04-14	1
	Neurophos			2026-04-14			pitched	2026-04-14	1
	Positron AI			2026-04-14			pitched	2026-04-14	1
	Starfish Space			2026-04-14			pitched	2026-04-14	1
	ElevenLabs			2026-04-14			pitched	2026-04-14	1
	Luma AI			2026-04-14			pitched	2026-04-14	1
	Hippocratic AI			2026-04-14			pitched	2026-04-14	1
	Chai Discovery			2026-04-14			pitched	2026-04-14	1
	----------------------			----------			pitched	----------	1
	7AI			2026-03-05			pitched	2026-03-05	1
	Visitt			2026-02-18			pitched	2026-02-18	1
	Rentberry			2026-03-03			pitched	2026-03-03	1
	Newo.ai			2026-03-03			pitched	2026-03-03	1
	Firmable			2026-03-03			pitched	2026-03-03	1
	Juniper Square			2026-03-05			pitched	2026-03-05	1
	Automax.ai			2026-03-05			pitched	2026-03-05	1
	Extenteam			2026-03-05			pitched	2026-03-05	1
	SolveAI			2026-03-03			pitched	2026-03-03	1
	Elevāt			2026-02-25			pitched	2026-02-25	1
	Visitt (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Orbital (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Benepass (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Bound (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Luxury Presence (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Smart Bricks (2026-02-18)			2026-04-21			seen	2026-04-21	1
	PRYPCO (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Duetto (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Smarsh (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Breezy (2026-02-18)			2026-04-21			seen	2026-04-21	1
	MegPrime (2026-02-18)			2026-04-21			seen	2026-04-21	1
	FYLD (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Bedrock Robotics (2026-02-18)			2026-04-21			seen	2026-04-21	1
	MRI Software (2026-02-18)			2026-04-21			seen	2026-04-21	1
	MARC (2026-02-18)			2026-04-21			seen	2026-04-21	1
	Cambio (2026-02-24)			2026-04-21			seen	2026-04-21	1
	Vantaca (2026-02-24)			2026-04-21			seen	2026-04-21	1
	Billdr (2026-02-24)			2026-04-21			seen	2026-04-21	1
	PermitFlow (2026-02-24)			2026-04-21			seen	2026-04-21	1
	Zillow (2026-02-25)			2026-04-21			seen	2026-04-21	1
	Ownwell (2026-02-25)			2026-04-21			seen	2026-04-21	1
	Elevāt (2026-02-25)			2026-04-21			seen	2026-04-21	1
	Stacks (2026-02-25)			2026-04-21			seen	2026-04-21	1
	Harper (2026-02-25)			2026-04-21			seen	2026-04-21	1
	Union.ai (2026-02-25)			2026-04-21			seen	2026-04-21	1
	Lette AI (2026-02-25)			2026-04-21			seen	2026-04-21	1
	Dwelly (2026-02-26)			2026-04-21			seen	2026-04-21	1
	MeltPlan (2026-02-26)			2026-04-21			seen	2026-04-21	1
	Brickanta (2026-02-26)			2026-04-21			seen	2026-04-21	1
	ScyAI (2026-02-26)			2026-04-21			seen	2026-04-21	1
	Firmable (2026-03-03)			2026-04-21			seen	2026-04-21	1
	SolveAI (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Spintly (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Stake (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Gropyus (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Newo.ai (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Payr (2026-03-03)			2026-04-21			seen	2026-04-21	1
	RealPage (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Lone Wolf Technologies (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Maverix Advisory Group (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Rentberry (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Haven (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Inviscid AI (2026-03-03)			2026-04-21			seen	2026-04-21	1
	ArchiLabs (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Aldara (2026-03-03)			2026-04-21			seen	2026-04-21	1
	Trayd (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Eragon (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Sycamore (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Nexus (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Baselane (2026-04-13)			2026-04-21			seen	2026-04-21	1
	AppWork (2026-04-13)			2026-04-21			seen	2026-04-21	1
	ConCntric (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Sensera Systems (2026-04-13)			2026-04-21			seen	2026-04-21	1
	XBuild (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Wonderful (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Lio (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Acelab (2026-04-13)			2026-04-21			seen	2026-04-21	1
	CYVL (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Spacial (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Oasis Security (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Jump (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Runware (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Letter AI (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Code Metal (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Slang AI (2026-04-13)			2026-04-21			seen	2026-04-21	1
	tem (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Rewaa (2026-04-13)			2026-04-21			seen	2026-04-21	1
	osapiens (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Planna (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Automated Architecture (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Stately (2026-04-13)			2026-04-21			seen	2026-04-21	1
	Doctronic (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	WINN.AI (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Qualified Health (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Voize (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Trial Library (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Eudia (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Sequence (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Pace (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Sixfold (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Stand (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Indigo (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	XILO (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Angle Health (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Ambience Healthcare (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	OpenEvidence (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	AdvancedMD (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	MedSpeed (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Quility (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Coalition (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Everlaw (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Clio (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	ServiceUp (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	FurtherAI (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Alex (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Shapes (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	AppZen (2026-04-13 pivot)			2026-04-21			seen	2026-04-21	1
	Xoople (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Insight Health (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Glimpse (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Harvey (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Axiamatic (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Rebellions (2026-04-14)			2026-04-21			seen	2026-04-21	1
	XFX (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Aetherflux (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Zatanna (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Fenrock AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Rubric AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Button (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Pocket (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Beacon Health (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Oro Labs (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Vypr (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Daffodil Health (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Northwood Space (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Emergent (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Ethernovia (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Ricursive Intelligence (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Upscale AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Olix (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Neurophos (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Positron AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Starfish Space (2026-04-14)			2026-04-21			seen	2026-04-21	1
	ElevenLabs (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Luma AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Hippocratic AI (2026-04-14)			2026-04-21			seen	2026-04-21	1
	Chai Discovery (2026-04-14)			2026-04-21			seen	2026-04-21	1
https://www.adzuna.com/details/5706863765?utm_medium=api&utm_source=ccc92f2c	Success Matcher Recruitment	ai product manager	Seattle, King County	2026-04-23	4.42	A	applied	2026-04-23	1
https://ats.rippling.com/cprs/jobs/7594c9dc-eeae-467e-851f-12db6e39f1da	CPRS	ai product manager	Bellevue, King County	2026-04-23	4.26	A	applied	2026-04-23	1
https://www.adzuna.com/land/ad/5690416171	CBRE	sr property manager	International, King County	2026-04-23	4.11	A	skipped	2026-04-23	1
https://www.digitalocean.com/careers/position/apply?gh_jid=7630105	DigitalOcean	senior product manager	Seattle, King County	2026-04-23	4.05	A	applied	2026-04-23	1
https://www.qualtrics.com/careers/us/en/job/7531649?gh_jid=7531649	Qualtrics	principal product operations lead pdlc	Seattle, King County	2026-04-23	4.05	A	applied	2026-04-23	1
https://www.nexhealth.com/careers/open-positions?gh_jid=5807748004	NexHealth	product manager	Seattle, King County	2026-04-23	4.0	A	applied	2026-04-23	1
